iteration,fitness,machines running,walkingpath
15,133.40800000000019,3,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 13, 20, 17, 12, 10, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 11, 14, 13, 20, 21, 23, 22, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 19, 15, 11, 7, 5, 6, 8, 7, 11, 14, 18, 21, 18, 14, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 8, 9, 16, 22, 23, 21, 20, 17, 12, 13, 14, 18, 21, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 7, 5, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 14, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
17,121.7864999999999,3,"[[0, 1, 2, 3, 9, 16, 19, 16, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 5, 7, 8, 9, 16, 22, 19, 22, 23, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 18, 15, 19, 22, 23, 21, 18, 14, 13, 12, 17, 20, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 11, 7, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 12, 13, 14, 11, 7, 8, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
61,91.401499999999956,3,"[[0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 19, 22, 23, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 16, 22, 23, 21, 20, 17, 12, 13, 14, 18, 21, 20, 13, 14, 18, 15, 19, 22, 16, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 8, 9, 8, 6, 5, 7, 11, 14, 13, 20, 17, 12, 10, 12, 13, 20, 17, 12, 13, 20, 21, 18, 15, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 11, 14, 13, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
607,88.773000000000039,3,"[[0, 1, 6, 8, 7, 11, 14, 18, 21, 20, 17, 12, 13, 14, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 3, 4, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 16, 19, 15, 18, 14, 13, 20, 17, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
698,85.674499999999995,3,"[[0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 5, 7, 8, 9, 8, 6, 5, 7, 11, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 12, 13, 14, 18, 21, 20, 17, 12, 17, 20, 13, 12, 17, 12, 13, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 18, 15, 19, 22, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
733,82.273500000000013,3,"[[0, 1, 2, 3, 4, 3, 9, 8, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 20, 17, 12, 13, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 22, 23, 21, 18, 15, 19, 22, 23, 21, 20, 13, 14, 18, 15, 11, 7, 8, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
860,77.277499999999975,3,"[[0, 1, 6, 8, 7, 11, 14, 18, 21, 20, 17, 12, 13, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 16, 22, 23, 22, 19, 16, 22, 19, 15, 11, 15, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 15, 18, 21, 23, 21, 20, 17, 12, 10, 12, 13, 14, 11, 7, 8, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
1452,76.380000000000024,3,"[[0, 1, 2, 3, 4, 3, 9, 16, 22, 23, 21, 20, 17, 12, 10, 12, 13, 14, 18, 15, 11, 7, 5, 6, 1, 0], [0, 1, 2, 3, 9, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 17, 20, 13, 14, 11, 15, 19, 16, 9, 3, 2, 1, 0], [0, 1, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 22, 23, 21, 18, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 9, 16, 19, 22, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
1464,72.384499999999989,3,"[[0, 1, 6, 8, 7, 8, 9, 8, 6, 5, 7, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 16, 22, 23, 21, 18, 15, 11, 14, 13, 20, 17, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 22, 19, 15, 18, 14, 13, 12, 17, 20, 21, 18, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
4494,65.028499999999966,3,"[[0, 1, 2, 3, 4, 3, 9, 8, 7, 8, 6, 5, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 23, 22, 16, 9, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 16, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
11130,62.410999999999966,3,"[[0, 1, 2, 3, 4, 3, 9, 8, 6, 5, 7, 11, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 15, 18, 14, 13, 20, 21, 18, 15, 11, 14, 18, 21, 23, 22, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 5, 7, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 23, 22, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
24151,61.603499999999976,3,"[[0, 1, 2, 3, 4, 3, 9, 8, 7, 8, 6, 5, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 15, 18, 14, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
52757,58.846499999999963,3,"[[0, 1, 2, 3, 4, 3, 9, 8, 7, 5, 6, 8, 6, 5, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 20, 17, 12, 10, 12, 13, 20, 21, 18, 15, 19, 22, 16, 9, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 13, 14, 18, 21, 23, 22, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
